밀원수종명,주소,경도,위도,화밀량
아까시나무,경상북도 칠곡군 심천로 229-15,128.5137753,35.96534267,263.979
아까시나무,충청북도 충주시 성지길 67-35,127.7883347,36.94243235,20.06
아까시나무,경상북도 칠곡군 포망로 137-17,128.42382,36.05041245,374.146
아까시나무,경상북도 칠곡군 강진4길 10,128.3309635,36.06914598,164.132
아까시나무,충청북도 충주시 웃말길 16,127.8206925,36.97279818,12.474
아까시나무,경상북도 칠곡군 주산로 800-3,128.3508073,35.9657223,31.226
아까시나무,충청북도 충주시 안락숭선길 84,127.70386,37.0419858,61.968
아까시나무,경상북도 칠곡군 낙산로5길 64-6,128.5164841,35.93254181,166.865
아까시나무,경상북도 칠곡군 관호2길 24,128.384644,36.01657275,423.167
아까시나무,경상북도 칠곡군 중앙로 213-21,128.3987169,35.99469534,31.383
아까시나무,경상북도 칠곡군 공단로4길 32-28,128.4176104,35.96513843,38.107
아까시나무,충청북도 충주시 수청골길 11,127.7431522,37.00164293,37.413
아까시나무,충청북도 충주시 상촌안길 23,127.9975469,36.88608548,127.757
아까시나무,충청북도 충주시 상저전길 48-10,127.7532882,37.05152382,72.379
아까시나무,경상북도 칠곡군 구상길 165,128.3942747,35.98143213,52.931
아까시나무,충청북도 충주시 신덕로 1374,127.7970743,36.97406314,11.112
아까시나무,충청북도 충주시 큰용당길 26,127.9806247,36.89226737,4.877
아까시나무,경상북도 칠곡군 학하들안1길 16-16,128.4791722,36.09341241,191.549
아까시나무,충청북도 충주시 성종두담길 39-14,127.8473385,36.9439414,572.97
아까시나무,경상북도 칠곡군 봉산3길 17-10,128.342707,35.99119423,2426.829
아까시나무,충청북도 충주시 목벌길 506,128.0157061,36.96620392,169.99
아까시나무,경상북도 칠곡군 유학로 941-3,128.4939941,36.05632993,193.023
아까시나무,충청북도 충주시 논동옥성길 403,127.9090032,37.12504504,349.524
아까시나무,충청남도 공주시 감영길 10,127.1224193,36.45272198,48.964
아까시나무,경상북도 칠곡군 노석3길 6-1,128.3874091,35.9625844,23.21
아까시나무,충청북도 충주시 고든골길 123-40,127.9607358,36.94595709,32.181
아까시나무,충청북도 충주시 화치2길 40-21,127.6825283,36.99841158,71.417
아까시나무,충청북도 충주시 고든골길 25,127.9535462,36.94612369,13.596
아까시나무,충청북도 충주시 만적골1길 6-3,127.8601126,36.96340066,78.496
아까시나무,충청남도 공주시 잣골길 214-7,127.0854849,36.36532276,16.045
아까시나무,충청북도 충주시 하종민길 5,127.9947296,36.98960108,19.106
아까시나무,충청북도 충주시 달개1길 29-9,127.7542248,37.11134713,107.473
아까시나무,충청북도 충주시 광명2길 6-1,127.9290164,36.97838087,55.802
아까시나무,충청북도 충주시 고든골길 101-1,127.9610817,36.94589879,32.606
아까시나무,경상북도 칠곡군 신동로 101,128.4837324,35.95717765,446.114
아까시나무,충청북도 충주시 월악로 177-17,127.996851,36.89565234,44.611
아까시나무,충청북도 충주시 마치3길 20,127.8080691,36.9725234,46.883
아까시나무,충청북도 충주시 원달천1길 31,127.8987834,36.96000955,15.645
아까시나무,경상북도 칠곡군 각산2길 27,128.3255266,35.9994415,2426.829
아까시나무,충청북도 충주시 교현신촌1길 27,127.9429503,36.97954356,55.802
아까시나무,충청북도 충주시 삼실길 32,127.904715,37.07773593,38.875
아까시나무,충청북도 충주시 금봉대로 296,127.9476947,36.9610553,47.782
아까시나무,충청북도 충주시 능동3길 12,127.7995358,37.08947232,103.375
아까시나무,경상북도 칠곡군 구상길 136-5,128.3957391,35.9790477,72.965
아까시나무,충청북도 충주시 내사2길 64,128.0072582,36.8967273,108.194
아까시나무,경상북도 칠곡군 금암중앙길 89,128.5537479,35.98670846,192.353
아까시나무,충청북도 충주시 창현로 1233,127.8832019,36.94588478,67.399
아까시나무,충청북도 충주시 당우리길 404,127.769076,37.01201256,318.512
아까시나무,충청남도 공주시 단지문화마을길 43-5,127.0628876,36.47579165,551.881
아까시나무,충청북도 충주시 호암대로 130,127.9397251,36.95759535,62.6
아까시나무,충청북도 충주시 약막2길 12,127.9649139,36.97425766,29.798
아까시나무,경상북도 칠곡군 남원로 488,128.5901519,36.00911995,115.807
아까시나무,충청북도 충주시 동수1길 8,127.9353032,36.98651001,38.404
아까시나무,충청남도 공주시 용봉입동로 326-55,127.0040543,36.46041301,163.041
아까시나무,충청북도 충주시 야현4길 8,127.9363012,36.97837297,75.024
아까시나무,경상북도 칠곡군 도개4길 17-1,128.4675492,36.05011995,103.838
아까시나무,충청북도 충주시 동수8길 13,127.9392624,36.98312457,75.024
아까시나무,경상북도 칠곡군 신동로 133,128.4871232,35.9570559,204.192
아까시나무,경상북도 칠곡군 지천로 245,128.4952909,35.95807578,316.276
아까시나무,충청북도 충주시 쇠죽골길 82-21,127.6997295,37.0659575,164.751
아까시나무,경상북도 칠곡군 영오먹골길 14-5,128.4886905,35.9303927,400.028
아까시나무,경상북도 칠곡군 평원2길 24,128.3412091,36.06859283,4487.908
아까시나무,충청북도 충주시 주덕농공길 78,127.7870273,36.96792452,140.078
아까시나무,경상북도 칠곡군 관호8길 8-5,128.3890935,36.00289981,375.456
아까시나무,충청북도 충주시 중원대로 2575,127.9492224,36.91322535,35.016
아까시나무,경상북도 칠곡군 칠곡대로 1756,128.4239188,35.98295727,119.304
아까시나무,경상북도 칠곡군 강진2길 40-2,128.329188,36.06794192,0.011
아까시나무,경상북도 칠곡군 기성10길 24,128.6055097,35.99626184,80.359
아까시나무,경상북도 칠곡군 남율로10길 11,128.4025612,36.06343312,403.878
아까시나무,경상북도 칠곡군 상지1길 28-3,128.4945375,35.95996782,252.974
아까시나무,경상북도 칠곡군 유학로 86-16,128.4174546,36.07482925,383.635
아까시나무,경상북도 칠곡군 동중리7길 30,128.417,36.0753204,196.076
아까시나무,충청북도 충주시 매남이길 57,127.9706469,36.90484462,44.611
아까시나무,전라남도 장흥군 해창길 166-2,126.9913563,34.62762898,24.358
아까시나무,경상북도 칠곡군 금암4길 8,128.5540745,35.98319872,176.532
아까시나무,충청북도 충주시 연원10길 12-1,127.9289334,36.98421329,167.454
아까시나무,경상북도 칠곡군 금암중앙길 25-16,128.5526531,35.9815057,65.79
아까시나무,경상북도 칠곡군 망정1길 11-21,128.4425473,36.040901,83.373
아까시나무,경상북도 칠곡군 봉산1길 143-10,128.3359581,36.00565134,4269.633
아까시나무,충청북도 충주시 갈치2길 14,127.746868,37.11928695,75.507
아까시나무,경상북도 칠곡군 이언길 8,128.4938404,35.94177728,79.783
아까시나무,경상북도 칠곡군 칠곡대로 1189,128.3905622,35.99638487,59.998
아까시나무,충청북도 충주시 호반로 186-20,127.9925031,37.0297533,134.261
아까시나무,경상북도 칠곡군 군청1길 92-1,128.4010762,35.99581372,561.482
아까시나무,경상북도 칠곡군 강진2길 67-1,128.3277491,36.06872221,2019.439
아까시나무,경상북도 칠곡군 칠곡대로 1763-10,128.4259867,35.98264817,32.756
아까시나무,충청북도 충주시 대향산길 107-6,127.9487594,36.92748044,22.707
아까시나무,충청북도 충주시 하너미로 551-1,127.749528,37.0885101,107.473
아까시나무,경상북도 칠곡군 포남5길 14-15,128.4205459,36.05072676,2429.165
아까시나무,충청북도 충주시 새터마치길 66-2,127.7978881,36.97212812,54.924
